,Action_id_label,ActionIdPageLabel,ActionName_Label,Next_id_label,NextPageLabel,NextActionName_Label,distance,rating
67,22,0,21,15,0,10,5.0,24
68,22,0,21,11,0,11,6.0,24
69,22,0,21,45,0,21,6.5,35
70,41,0,24,49,0,36,1.0,6
71,41,0,24,38,0,14,2.0,36
72,41,0,24,52,0,0,3.0,36
73,41,0,24,15,0,10,4.0,24
74,41,0,24,11,0,11,5.0,24
75,41,0,24,45,0,21,5.5,35
76,49,0,36,38,0,14,1.0,6
77,49,0,36,52,0,0,2.0,6
78,49,0,36,15,0,10,3.0,6
79,49,0,36,11,0,11,4.0,6
80,49,0,36,45,0,21,5.0,6
81,38,0,14,52,0,0,1.0,36
82,38,0,14,15,0,10,2.0,24
83,38,0,14,11,0,11,3.0,24
84,38,0,14,45,0,21,3.5,35
85,52,0,0,15,0,10,1.0,25
86,52,0,0,11,0,11,2.0,25
87,52,0,0,45,0,21,2.5,36
88,15,0,10,11,0,11,1.0,25
89,15,0,10,45,0,21,2.0,25
90,11,0,11,45,0,21,1.0,25
91,18,3,17,40,0,26,8.0,31
92,18,3,17,31,5,15,13.5,25
93,18,3,17,51,1,23,14.5,28
94,18,3,17,42,1,33,17.5,29
95,18,3,17,8,1,21,18.5,29
96,18,3,17,44,5,22,20.5,24
97,18,3,17,0,5,25,21.5,25
98,18,3,17,46,5,26,21.0,25
99,18,3,17,2,5,26,15.5,26
100,18,3,17,4,1,14,16.5,29
101,53,0,12,18,3,17,16.5,2
102,53,0,12,40,0,26,7.0,29
103,53,0,12,31,5,15,12.5,23
104,53,0,12,51,1,23,13.5,27
105,53,0,12,42,1,33,16.5,28
106,53,0,12,8,1,21,17.5,28
107,53,0,12,44,5,22,19.5,23
108,53,0,12,0,5,25,20.5,24
109,53,0,12,46,5,26,20.0,24
110,53,0,12,2,5,26,14.5,24
111,53,0,12,4,1,14,15.5,27
112,54,0,26,18,3,17,12.5,3
113,54,0,26,29,0,14,1.0,29
114,54,0,26,40,0,26,5.5,30
115,54,0,26,31,5,15,11.5,25
116,54,0,26,51,1,23,12.5,28
117,54,0,26,42,1,33,15.5,28
118,54,0,26,8,1,21,16.5,28
119,54,0,26,44,5,22,18.5,23
120,54,0,26,0,5,25,19.5,24
121,54,0,26,46,5,26,19.0,24
122,54,0,26,2,5,26,13.5,25
123,54,0,26,4,1,14,14.0,28
124,29,0,14,18,3,17,15.0,2
125,29,0,14,40,0,26,5.0,30
126,29,0,14,31,5,15,10.5,24
127,29,0,14,51,1,23,11.5,27
128,29,0,14,42,1,33,14.5,28
129,29,0,14,8,1,21,15.5,28
130,29,0,14,44,5,22,17.5,23
131,29,0,14,0,5,25,18.5,24
132,29,0,14,46,5,26,18.0,24
133,29,0,14,2,5,26,12.5,24
134,29,0,14,4,1,14,13.5,27
135,10,0,1,18,3,17,13.5,2
